task_name,instructional_prompt,normalized_student_code,normalized_canonical_code,Final_Score,code_length,token_count,canonical_code_length,canonical_token_count,proficiency
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro' elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro' elif a  >  =  21 and a  <  =  64: 'your fare is: 1.50 euro' else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.7297014925373135,195,48,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro' elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro' elif a  >  =  21 and a  <  =  64: 'your fare is: 1.5 euro' else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.7304477611940299,194,48,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro'.rsplit() elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro'.rsplit() elif a  >  =  21 and a  <  =  64: 'your fare is: 1.5 euro'.rsplit() else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.7200000000000001,221,48,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"age  =  if age  <  =  16: ""your fare is: 0.75 euro."" elif 17  <  =  age  <  =  20: ""your fare is: 1.25 euro."" elif 21  <  =  age  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5571641791044777,186,42,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  n  <  20: ""1.25 euro"" elif 21  <  n  <  64: ""1.50 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5743283582089552,119,28,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  =  n  <  =  20: ""1.25 euro"" elif 21  <  =  n  <  =  64: ""1.50 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5691044776119403,131,32,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  =  n  <  =  20: ""1.25 euro"" elif 21  <  =  n  <  =  64: ""1.5 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5698507462686567,130,32,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""your fare is: 0.75 euro"" elif 17  <  =  n  <  =  20: ""your fareis: 1.25 euro"" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5564179104477612,171,40,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""your fare is: 0.75 euro."" elif 17  <  =  n  <  =  20: ""your fareis: 1.25 euro."" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.5549253731343284,174,40,134,26,experienced
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n  =  if n  <  16: ""your fare is: 0.75 euro."" elif 17  <  =  n  <  =  20: ""your fare is: 1.25 euro."" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0,0.554179104477612,175,41,134,26,experienced
